id,price_prediction
23285,28468528.62271312
23286,10073944.56162484
23287,6102518.141514833
23288,8855156.833082184
23289,5319406.014833038
23290,6818361.614756254
23291,7092077.582035705
23292,9523380.573973
23293,6525052.153416094
23294,3993811.9421704845
23295,5713691.261030993
23296,6252033.942137256
23297,6265637.260904205
23298,6897301.209727505
23299,7517116.793668549
23300,7344820.892393193
23301,8427278.507114919
23302,3530829.1555496403
23303,4765945.151804035
23304,13166210.862566482
23305,5376320.53257021
23306,5187485.328484806
23307,6681435.11612971
23308,16700132.312250726
23309,5997953.656036254
23310,6548404.85625306
23311,5942473.265885467
23312,7119122.761453392
23313,5713890.295041979
23314,6206065.15185533
23315,6868352.027141812
23316,7270459.76089972
23317,8657098.913391238
23318,8526675.037723394
23319,8467441.314272912
23320,10242319.937888255
23321,9260658.99242467
23322,10529373.376714058
23323,10159646.599293832
23324,11416235.122579051
23325,13187187.262826346
23326,16454666.226956569
23327,17395598.361409687
23328,19796841.406363655
23329,13669452.672463441
23330,6054977.704549882
23331,8978125.037717147
23332,12079589.388573388
23333,3299331.9348647897
23334,3945093.779598938
23335,3923463.1867923266
23336,4591965.594889239
23337,4555115.480874584
23338,4832251.546707043
23339,3728883.408221992
23340,3617591.2721966584
23341,4794155.6622589445
23342,4097931.8369164243
23343,4118680.866032823
23344,6048899.908108847
23345,4424356.088773699
23346,4393447.107339107
23347,4486649.689811301
23348,4639923.8114856845
23349,4633194.286857703
23350,4901841.194715312
23351,5326673.567875027
23352,5411281.043909875
23353,5093347.220354498
23354,6034786.395893298
23355,5316092.876004273
23356,5841084.146607403
23357,112728290.34881526
23358,5894091.661905961
23359,4651790.56711247
23360,5570387.373003582
23361,6131682.739821363
23362,5026156.162492544
23363,5557346.152377503
23364,5639128.989717105
23365,5396139.89714289
23366,5695738.532386429
23367,5630607.213684766
23368,6183046.76051101
23369,5565761.420337023
23370,5932710.8267735625
23371,5715370.174769224
23372,6418773.6276363935
23373,6006360.796735222
23374,6816414.504571423
23375,17845823.57708147
23376,6100774.657294563
23377,5752644.021151328
23378,6006874.803800973
23379,6957816.683850468
23380,5770021.429089306
23381,6186068.813871462
23382,6011792.864327395
23383,6136494.256223445
23384,12297163.880408976
23385,6252354.457319461
23386,6384706.0788701
23387,5305145.63371161
23388,7673751.754984055
23389,6603532.409616588
23390,7270548.381009226
23391,6624084.349438144
23392,6870273.2452297555
23393,7844401.115753798
23394,6939294.405482042
23395,5937001.306908678
23396,6818831.000231066
23397,7078569.008766936
23398,6941034.29959785
23399,6662238.3537106225
23400,6874133.383268054
23401,6934346.394917156
23402,6731671.747929243
23403,6319014.658635668
23404,7360348.180215532
23405,5944947.46193942
23406,7452972.391813115
23407,7520259.4587779585
23408,7291252.226891024
23409,7346926.859220447
23410,7054309.261606294
23411,8569110.509422434
23412,8659075.741171233
23413,7578148.13695566
23414,8434019.266472118
23415,7860991.786379143
23416,33294493.149796277
23417,8160168.142075296
23418,8057843.1425334755
23419,8395329.461090462
23420,9690485.042877007
23421,8002962.6847079005
23422,7450454.718748431
23423,7860845.478455216
23424,8015423.788251383
23425,6785804.89427441
23426,7944982.15094501
23427,10530832.560571609
23428,7969017.098646914
23429,9586628.949667552
23430,8019093.270595424
23431,11206202.59304287
23432,8787344.259748226
23433,8696999.330285935
23434,8757437.547026506
23435,11160052.920889761
23436,8981845.820627915
23437,8509669.156690538
23438,10832105.188162137
23439,9052322.47924944
23440,8966771.338966845
23441,11988797.226581581
23442,7503945.511929025
23443,8478914.832199594
23444,9281538.435391778
23445,9102135.432573358
23446,8344432.527847472
23447,8698928.600568768
23448,9883145.38337769
23449,9823242.051094705
23450,9273838.573683575
23451,12982303.334221464
23452,12895897.928960921
23453,13386606.538144503
23454,10440156.735044943
23455,12368832.672539279
23456,11396647.474458355
23457,10774642.372351712
23458,10484104.095656801
23459,9331709.28269356
23460,9693229.99261387
23461,10223856.496643621
23462,10186383.875590699
23463,9552933.112990627
23464,9782903.122012822
23465,9617260.181253133
23466,10475026.025654383
23467,13368966.316764604
23468,10597275.03586945
23469,36925021.07164278
23470,27680061.84177838
23471,37499263.89633958
23472,40329407.79015282
23473,12142553.452414844
23474,14131878.803484423
23475,27965072.428004164
23476,10453025.02880365
23477,8193344.189748406
23478,20678236.536636613
23479,14050031.961978162
23480,19344326.92009107
23481,27985337.775879644
23482,15116018.620373134
23483,26851435.114520755
23484,84646041.75564352
23485,12999370.002344886
23486,23277814.548018437
23487,23801030.694822114
23488,40559474.095182404
23489,10235603.385102639
23490,12976540.671558578
23491,40204470.91934733
23492,40198590.07296109
23493,40198590.07296109
23494,26753438.453367468
23495,77496509.8373409
23496,32369135.551231787
23497,9505862.335965883
23498,42655049.803907864
23499,6587417.673115032
23500,7539755.042886231
23501,8207873.603040735
23502,10489501.650317758
23503,10603348.26868666
23504,8327292.014540739
23505,10175998.008790152
23506,11479113.123269005
23507,11246282.711397424
23508,14333404.785379896
23509,16081446.884004313
23510,19294880.9401148
23511,14244674.234348984
23512,14976438.197200712
23513,11562056.669446854
23514,13672371.258036936
23515,18092121.914199285
23516,18801912.779038616
23517,16607747.498893943
23518,17303046.463133622
23519,26827108.63333798
23520,29628361.746553224
23521,39119019.82977918
23522,38597482.94016197
23523,30087713.668950167
23524,26351115.795656398
23525,56011446.55825945
23526,59344721.67849077
23527,105388026.27039485
23528,16242818.362735026
23529,8441571.512494957
23530,8068552.325359109
23531,13522956.097475812
23532,14130277.46557207
23533,60641679.99357575
23534,6268019.2933547245
23535,6454814.9193115495
23536,5332695.674422579
23537,8561087.496114597
23538,7308834.15641861
23539,9883587.181324776
23540,8911912.119576344
23541,9302616.604637194
23542,11247197.055908242
23543,8924305.200193599
23544,10333435.37550373
23545,9230118.300991334
23546,10881448.99125681
23547,11322550.090134077
23548,11685896.113253409
23549,12146525.428091077
23550,12680460.958457494
23551,12607673.62126333
23552,11031851.116212709
23553,12762671.97556028
23554,11242938.865476524
23555,11711272.518903347
23556,10979941.891274344
23557,14346901.351811353
23558,12245776.581972126
23559,12453389.485224254
23560,16552197.363029813
23561,14814797.565401042
23562,14863059.780213658
23563,15017997.830744337
23564,15277720.964461772
23565,13243975.813924503
23566,10633895.492454387
23567,14037721.983211529
23568,15875997.232075777
23569,16137815.900056092
23570,16200687.440867957
23571,12594483.551720167
23572,13537575.776547402
23573,13354516.737644337
23574,16322590.044362795
23575,14051410.467099918
23576,17816683.130511764
23577,18561147.4586342
23578,20057371.369550034
23579,16915934.456720587
23580,19132060.59936328
23581,16558435.48401129
23582,18121887.68441678
23583,16244697.077238731
23584,14310330.969628535
23585,15116272.412324425
23586,17134493.572828367
23587,29589622.78176761
23588,17083333.025435302
23589,16371758.895892043
23590,16903161.026044868
23591,15931823.700448472
23592,15584423.284605063
23593,14524770.724779703
23594,22189631.988357227
23595,16213665.244726906
23596,19338742.142122533
23597,19872556.09931719
23598,18360855.016733978
23599,16656352.637329577
23600,19897236.484504353
23601,18342654.50148274
23602,18266249.766296454
23603,17961478.121468265
23604,20536340.52084694
23605,19153426.165859066
23606,18289574.456031438
23607,19135989.399715826
23608,22431419.23167938
23609,18411489.427943166
23610,25928662.486361038
23611,20063359.739862893
23612,19549448.320601255
